date,hashrate
2023-05-29 0:00:00,399026915
2023-05-30 0:00:00,379321882.2
2023-05-31 0:00:00,349729770.9
2023-06-01 0:00:00,336187209.5
2023-06-02 0:00:00,417687139.1
2023-06-03 0:00:00,331093463.9
2023-06-04 0:00:00,376937174.3
2023-06-05 0:00:00,351468446.3
2023-06-06 0:00:00,384577792.7
2023-06-07 0:00:00,343827827.9
2023-06-08 0:00:00,392218411.1
2023-06-09 0:00:00,430421503.1
2023-06-10 0:00:00,392218411.1
2023-06-11 0:00:00,415140266.3
2023-06-12 0:00:00,399859029.5
2023-06-13 0:00:00,374390301.5
2023-06-14 0:00:00,312388215
2023-06-15 0:00:00,385148460.2
2023-06-16 0:00:00,398160232.5
2023-06-17 0:00:00,364329624.5
2023-06-18 0:00:00,392955523.5
2023-06-19 0:00:00,369534333.4
2023-06-20 0:00:00,353920206.6
2023-06-21 0:00:00,314884889.7
2023-06-22 0:00:00,356522561.1
2023-06-23 0:00:00,325294307.6
2023-06-24 0:00:00,379943751.2
2023-06-25 0:00:00,398160232.5
2023-06-26 0:00:00,379943751.2
2023-06-27 0:00:00,364329624.5
2023-06-28 0:00:00,280545974.4
2023-06-29 0:00:00,367574940.3
2023-06-30 0:00:00,397786579.2
2023-07-01 0:00:00,334845664.8
2023-07-02 0:00:00,430515854.7
2023-07-03 0:00:00,344916211.1
2023-07-04 0:00:00,357504394
2023-07-05 0:00:00,390233669.5
2023-07-06 0:00:00,349951484.3
2023-07-07 0:00:00,440586401
2023-07-08 0:00:00,448139310.8
2023-07-09 0:00:00,425480581.6
2023-07-10 0:00:00,387716032.9
2023-07-11 0:00:00,339880937.9
2023-07-12 0:00:00,382989765.6
2023-07-13 0:00:00,321592673.5
2023-07-14 0:00:00,369831574.5
2023-07-15 0:00:00,369831574.5
2023-07-16 0:00:00,415390536.6
2023-07-17 0:00:00,364471696.6
2023-07-18 0:00:00,434150109.2
2023-07-19 0:00:00,396630964
2023-07-20 0:00:00,343032185.1
2023-07-21 0:00:00,300153161.9
2023-07-22 0:00:00,359111818.8
2023-07-23 0:00:00,393951025.1
2023-07-24 0:00:00,401990841.9
2023-07-25 0:00:00,369831574.5
2023-07-26 0:00:00,381190141.6
2023-07-27 0:00:00,358973121.3
2023-07-28 0:00:00,364175630.3
2023-07-29 0:00:00,343365594.3
2023-07-30 0:00:00,437010756.3
2023-07-31 0:00:00,366776884.8
2023-08-01 0:00:00,361574375.8
2023-08-02 0:00:00,400593193.3
2023-08-03 0:00:00,392789429.8
2023-08-04 0:00:00,314751794.7
2023-08-05 0:00:00,400593193.3
2023-08-06 0:00:00,426605738.3
2023-08-07 0:00:00,379783157.3
2023-08-08 0:00:00,325156812.7
2023-08-09 0:00:00,421650114.7
2023-08-10 0:00:00,330756213.4
2023-08-11 0:00:00,393261324.6
2023-08-12 0:00:00,434931398.8
2023-08-13 0:00:00,351591250.5
2023-08-14 0:00:00,445348917.3
2023-08-15 0:00:00,445348917.3
2023-08-16 0:00:00,424513880.2
2023-08-17 0:00:00,406283222.8
2023-08-18 0:00:00,362008769
2023-08-19 0:00:00,364613148.7
2023-08-20 0:00:00,421909500.6
2023-08-21 0:00:00,429722639.5
2023-08-22 0:00:00,380936887.2
2023-08-23 0:00:00,392623891.9
2023-08-24 0:00:00,384329021
2023-08-25 0:00:00,373269193
2023-08-26 0:00:00,378799107
2023-08-27 0:00:00,320735010.3
2023-08-28 0:00:00,326264924.3
2023-08-29 0:00:00,436863203.7
2023-08-30 0:00:00,348384580.2
2023-08-31 0:00:00,398153805.9
2023-09-01 0:00:00,417508504.8
2023-09-02 0:00:00,420273461.8
2023-09-03 0:00:00,436863203.7
2023-09-04 0:00:00,411978590.8
2023-09-05 0:00:00,342854666.2
2023-09-06 0:00:00,364419397.3
2023-09-07 0:00:00,393005453.9
2023-09-08 0:00:00,358011817.6
2023-09-09 0:00:00,406464544.8
2023-09-10 0:00:00,395697272.1
2023-09-11 0:00:00,427999090.2
2023-09-12 0:00:00,379546363.1
2023-09-13 0:00:00,395697272.1
2023-09-14 0:00:00,436074544.8
2023-09-15 0:00:00,506061817.4
2023-09-16 0:00:00,417231817.5
2023-09-17 0:00:00,401080908.5
2023-09-18 0:00:00,419923635.7
2023-09-19 0:00:00,385677556.7
