date,btc price
2018-11-15 0:00:00,5756.77
2018-11-16 0:00:00,5658.73
2018-11-17 0:00:00,5592.58
2018-11-18 0:00:00,5572.44
2018-11-19 0:00:00,5616.29
2018-11-20 0:00:00,4848.78
2018-11-21 0:00:00,4491.98
2018-11-22 0:00:00,4616.44
2018-11-23 0:00:00,4312.31
2018-11-24 0:00:00,4352.98
2018-11-25 0:00:00,3862.01
2018-11-26 0:00:00,4010.72
2018-11-27 0:00:00,3793.35
2018-11-28 0:00:00,3828.45
2018-11-29 0:00:00,4256.55
2018-11-30 0:00:00,4278.77
2018-12-01 0:00:00,4013.52
2018-12-02 0:00:00,4188.09
2018-12-03 0:00:00,4140.6
2018-12-04 0:00:00,3894.21
2018-12-05 0:00:00,3956.94
2018-12-06 0:00:00,3744.98
2018-12-07 0:00:00,3484.94
2018-12-08 0:00:00,3425.69
2018-12-09 0:00:00,3453.66
2018-12-10 0:00:00,3588.44
2018-12-11 0:00:00,3472.98
2018-12-12 0:00:00,3407.28
2018-12-13 0:00:00,3487.73
2018-12-14 0:00:00,3308.11
2018-12-15 0:00:00,3242.42
2018-12-16 0:00:00,3231.91
2018-12-17 0:00:00,3246.64
2018-12-18 0:00:00,3556.54
2018-12-19 0:00:00,3714.09
2018-12-20 0:00:00,3734.55
2018-12-21 0:00:00,4135.19
2018-12-22 0:00:00,3899.83
2018-12-23 0:00:00,4031.85
2018-12-24 0:00:00,3995.17
2018-12-25 0:00:00,4075.15
2018-12-26 0:00:00,3821.52
2018-12-27 0:00:00,3848.21
2018-12-28 0:00:00,3638.9
2018-12-29 0:00:00,3923.19
2018-12-30 0:00:00,3770.36
2018-12-31 0:00:00,3865.26
2019-01-01 0:00:00,3737.91
2019-01-02 0:00:00,3855.88
2019-01-03 0:00:00,3931.31
2019-01-04 0:00:00,3822.87
2019-01-05 0:00:00,3856.62
2019-01-06 0:00:00,3831.94
2019-01-07 0:00:00,4071.77
2019-01-08 0:00:00,4032.25
2019-01-09 0:00:00,4020.97
2019-01-10 0:00:00,4016.92
2019-01-11 0:00:00,3646.25
2019-01-12 0:00:00,3656.9
2019-01-13 0:00:00,3637.31
2019-01-14 0:00:00,3531.96
2019-01-15 0:00:00,3682.48
2019-01-16 0:00:00,3600.16
2019-01-17 0:00:00,3621.43
2019-01-18 0:00:00,3658.41
2019-01-19 0:00:00,3625.73
2019-01-20 0:00:00,3703.98
2019-01-21 0:00:00,3548.98
2019-01-22 0:00:00,3540.02
2019-01-23 0:00:00,3587.35
2019-01-24 0:00:00,3566.4
2019-01-25 0:00:00,3586.25
2019-01-26 0:00:00,3577.79
2019-01-27 0:00:00,3576.3
2019-01-28 0:00:00,3554.5
2019-01-29 0:00:00,3448.58
2019-01-30 0:00:00,3421.6
2019-01-31 0:00:00,3470
2019-02-01 0:00:00,3444.81
2019-02-02 0:00:00,3475.33
2019-02-03 0:00:00,3506.22
2019-02-04 0:00:00,3456.02
2019-02-05 0:00:00,3452.35
2019-02-06 0:00:00,3467.34
2019-02-07 0:00:00,3405.7
2019-02-08 0:00:00,3394.76
2019-02-09 0:00:00,3661.08
2019-02-10 0:00:00,3664.38
2019-02-11 0:00:00,3686.29
2019-02-12 0:00:00,3629.47
2019-02-13 0:00:00,3632.42
2019-02-14 0:00:00,3614.5
2019-02-15 0:00:00,3600.31
2019-02-16 0:00:00,3608.2
2019-02-17 0:00:00,3619.55
2019-02-18 0:00:00,3670.74
2019-02-19 0:00:00,3910.8
2019-02-20 0:00:00,3926.53
2019-02-21 0:00:00,3987.18
2019-02-22 0:00:00,3944.88
2019-02-23 0:00:00,3983.48
2019-02-24 0:00:00,4139.6
2019-02-25 0:00:00,3766.89
2019-02-26 0:00:00,3848.33
2019-02-27 0:00:00,3831.45
2019-02-28 0:00:00,3833.23
2019-03-01 0:00:00,3850.08
2019-03-02 0:00:00,3834.62
2019-03-03 0:00:00,3831.44
2019-03-04 0:00:00,3814.58
2019-03-05 0:00:00,3730.98
2019-03-06 0:00:00,3872.25
2019-03-07 0:00:00,3876.85
2019-03-08 0:00:00,3886.82
2019-03-09 0:00:00,3875.96
2019-03-10 0:00:00,3950.56
2019-03-11 0:00:00,3928.17
2019-03-12 0:00:00,3881.09
2019-03-13 0:00:00,3892.51
2019-03-14 0:00:00,3877.77
2019-03-15 0:00:00,3885.21
2019-03-16 0:00:00,3936.5
2019-03-17 0:00:00,4015.95
2019-03-18 0:00:00,3994.92
2019-03-19 0:00:00,3998.77
2019-03-20 0:00:00,4029.11
2019-03-21 0:00:00,4056.4
2019-03-22 0:00:00,3992.34
2019-03-23 0:00:00,3999.06
2019-03-24 0:00:00,4011.92
2019-03-25 0:00:00,3994.11
2019-03-26 0:00:00,3935.89
2019-03-27 0:00:00,3947.74
2019-03-28 0:00:00,4048.51
2019-03-29 0:00:00,4037.37
2019-03-30 0:00:00,4115.55
2019-03-31 0:00:00,4114.44
2019-04-01 0:00:00,4114.16
2019-04-02 0:00:00,4152.53
2019-04-03 0:00:00,4882.88
2019-04-04 0:00:00,4959.81
2019-04-05 0:00:00,4911.24
2019-04-06 0:00:00,5028.77
2019-04-07 0:00:00,5053.52
2019-04-08 0:00:00,5189.39
2019-04-09 0:00:00,5268.71
2019-04-10 0:00:00,5175.81
2019-04-11 0:00:00,5310.18
2019-04-12 0:00:00,5035.02
2019-04-13 0:00:00,5072.85
2019-04-14 0:00:00,5064.62
2019-04-15 0:00:00,5152.51
2019-04-16 0:00:00,5036.18
2019-04-17 0:00:00,5196.65
2019-04-18 0:00:00,5220.37
2019-04-19 0:00:00,5276.31
2019-04-20 0:00:00,5277.04
2019-04-21 0:00:00,5309.28
2019-04-22 0:00:00,5281.83
2019-04-23 0:00:00,5377.19
2019-04-24 0:00:00,5518.16
2019-04-25 0:00:00,5434.19
2019-04-26 0:00:00,5195.61
2019-04-27 0:00:00,5292.83
2019-04-28 0:00:00,5280.19
2019-04-29 0:00:00,5301.29
2019-04-30 0:00:00,5260.65
2019-05-01 0:00:00,5269.79
2019-05-02 0:00:00,5326.67
2019-05-03 0:00:00,5390.16
2019-05-04 0:00:00,5657.14
2019-05-05 0:00:00,5771.08
2019-05-06 0:00:00,5717.66
2019-05-07 0:00:00,5684.47
2019-05-08 0:00:00,5755.72
2019-05-09 0:00:00,5936.72
2019-05-10 0:00:00,6146.91
2019-05-11 0:00:00,6348.02
2019-05-12 0:00:00,7248.31
2019-05-13 0:00:00,6978.63
2019-05-14 0:00:00,7823.11
2019-05-15 0:00:00,7992.69
2019-05-16 0:00:00,8206.9
2019-05-17 0:00:00,7885.96
2019-05-18 0:00:00,7362.22
2019-05-19 0:00:00,7265.05
2019-05-20 0:00:00,8193.7
2019-05-21 0:00:00,8007.03
2019-05-22 0:00:00,7952.5
2019-05-23 0:00:00,7625.93
2019-05-24 0:00:00,7880.29
2019-05-25 0:00:00,8003.26
2019-05-26 0:00:00,8071.45
2019-05-27 0:00:00,8744.42
2019-05-28 0:00:00,8770.06
2019-05-29 0:00:00,8719.88
2019-05-30 0:00:00,8662.98
2019-05-31 0:00:00,8272.46
2019-06-01 0:00:00,8553.81
2019-06-02 0:00:00,8554.8
2019-06-03 0:00:00,8739.03
2019-06-04 0:00:00,8134.92
2019-06-05 0:00:00,7675.8
2019-06-06 0:00:00,7786.04
2019-06-07 0:00:00,7803.23
2019-06-08 0:00:00,7998.29
2019-06-09 0:00:00,7931.34
2019-06-10 0:00:00,7640.61
2019-06-11 0:00:00,8020.38
2019-06-12 0:00:00,7917.58
